,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
29,20434.496,[-2.433 -2.432 -2.431 ... 13.525 13.526 13.527],[3.36414343 3.47594621 3.47508413 ... 1.1345465  1.13513743 1.13573292],15.961,20432063,20448024,"{'Start_end': array([[   0, 6075],
       [4866, 8289]])}",2,[2433 7182],[15.75438965 11.04410673],[210.57064645],[4807],210.5706464518846,[48.11514244 19.49061677],,
31,22345.302,[-21.807 -21.806 -21.805 ...  19.317  19.318  19.319],[2.58520086 2.69685598 2.69584746 ... 3.23862272 3.23878504 3.23895672],41.127,22323495,22364622,"{'Start_end': array([[    0,  5391, 10385, 15378, 19937, 23677, 30778, 36407],
       [ 5274,  9167, 14377, 18818, 23677, 30391, 34254, 41107]])}",8,[ 2637  7279 12381 17098 21807 27034 32516 38757],"[13.88315685 21.36185334 32.3269996  58.62748039 60.9494185  43.6081598
 30.47537318 13.24058784]","[215.42438604 196.00156801 211.999152   212.35931196 191.31432944
 182.41517694 160.23073225]",[ 4958  9830 14739 19452 24420 29775 35636],195.67780809324404,"[35.88374378 52.73713823 78.14572231 95.06879348 93.37866853 90.65591844
 60.71886547 41.18278068]",-1.5320073919544768,-1.5320073919544768
32,23005.819,[-32.17  -32.169 -32.168 ...  52.439  52.44   52.441],[1.25589032 1.25694736 1.25800602 ... 1.00981072 1.00844172 1.00707157],84.612,22973649,23058261,"{'Start_end': array([[ 6192, 10298, 17583, 20147, 25499, 30320, 35024, 40395, 45715,
        50675, 56311, 60714, 66394, 71248],
       [10298, 14268, 20613, 25499, 29199, 34020, 39488, 45715, 50151,
        56069, 60167, 65710, 71248, 76142]])}",14,"[ 8245 12283 19098 22823 27349 32170 37256 43055 47933 53372 58239 63212
 68821 73695]","[11.25381954 14.41443496 10.8725146  29.40213774 43.35730656 45.35828034
 39.0269788  34.01618409 29.50533396 38.93344042 41.58749311 36.62231419
 16.85697824 13.96597076]","[247.64735017 146.73514307 268.45637584 220.94564737 207.42584526
 196.61816752 172.44352475 205.00205002 183.85732671 205.46537908
 201.08586366 178.28489927 205.17029134]","[10264 15690 20960 25086 29759 34713 40155 45494 50652 55805 60725 66016
 71258]",203.01060492828142,"[24.76193764 32.63248694 26.73929242 70.49540938 85.23704652 88.65259995
 81.01628156 75.82450208 71.01178779 77.62118849 79.21124512 80.89518431
 38.52961633 37.88223632]",-0.49762394036572916,-0.48406618919126604
33,24176.514,[-15.715 -15.714 -15.713 ...  24.789  24.79   24.791],[6.09190708 6.09199988 6.09209167 ... 0.74064353 0.74021315 0.73978653],40.507,24160799,24201306,"{'Start_end': array([[  489,  3342,  8556, 13819, 18394, 24234, 29247],
       [ 3193,  8556, 13576, 17611, 23294, 28600, 33949]])}",7,[ 1841  5949 11066 15715 20844 26417 31598],"[11.61655806 23.83655964 37.44863585 55.97561845 40.26040063 23.4547637
 11.34096944]","[243.42745862 195.42700801 215.10002151 194.96977968 179.43656917
 193.01293187]",[ 3895  8507 13390 18279 23630 29007],203.56229481053717,"[26.60417551 72.21843647 93.85476619 96.36129971 92.01103056 56.33371695
 29.97339524]",-1.7932248631499879,-1.7932248631499879
34,24712.638,[-7.411 -7.41  -7.409 ...  3.238  3.239  3.24 ],[4.26949557 4.38096821 4.37976889 ... 5.2627344  5.26363514 5.26454137],10.652000000000001,24705227,24715879,"{'Start_end': array([[    0,  4469],
       [ 3508, 10353]])}",2,[1754 7411],[12.58554278 14.36492511],[176.77214071],[4582],176.772140710624,[27.90958446 57.95806538],,
35,24883.296000000002,[-22.902 -22.901 -22.9   ...  23.622  23.623  23.624],[3.298062   3.41117735 3.41163244 ... 1.17136401 1.17258533 1.17381191],46.527,24860394,24906921,"{'Start_end': array([[  749,  6657, 10243, 16389, 21100, 25157, 31143, 36226, 43034],
       [ 6657, 10219, 16389, 20199, 24704, 30365, 35459, 41424, 46468]])}",9,[ 3703  8438 13316 18294 22902 27761 33301 38825 44751],"[17.04429075 13.96494132 24.18600932 32.34961782 55.83872569 53.2906263
 48.86229508 23.35692033 18.39880046]","[211.19324182 205.00205002 200.88388911 217.01388889 205.80366331
 180.50541516 181.02824041 168.74789065]",[ 6070 10877 15805 20598 25331 30531 36063 41788],196.2722849202845,"[ 49.06708597  31.74130588  70.83930749  69.93884464  95.55337412
 106.14623964  98.32912472  64.52237717  36.24239329]",-1.1659244677587417,-1.1659244677587417
38,27032.78,[-7.542 -7.541 -7.54  ...  2.473  2.474  2.475],[4.05756177 4.05950889 4.06146062 ... 4.09295353 4.09266241 4.09236962],10.018,27025238,27035256,"{'Start_end': array([[  280,  5067],
       [ 4282, 10017]])}",2,[2281 7542],[11.10372092 13.4762598 ],[190.07793195],[4911],190.07793195210036,[32.72365865 41.10091652],,
40,27592.348,[-12.214 -12.213 -12.212 ...  26.877  26.878  26.879],[6.13412719 6.24675901 6.24672487 ... 0.17636766 0.17574618 0.17512619],39.094,27580134,27619228,"{'Start_end': array([[    0,  6156,  9787, 14647, 19427, 25755, 31711],
       [ 4126,  9738, 14641, 19427, 25677, 30819, 36261]])}",7,[ 2063  7947 12214 17037 22552 28287 33986],"[20.35837687 34.899004   53.96184037 51.80993503 49.57507353 28.74700435
 10.2133109 ]","[169.95241332 234.35669088 207.33982998 181.32366274 174.3679163
 175.46938059]",[ 5005 10080 14625 19794 25419 31136],190.4683156372679,"[ 62.03241131  74.38775304 100.0694883  101.49086958  99.83951643
  60.16990177  26.88663503]",-0.9950121766112038,-0.9950121766112038
41,29617.488,[-13.748 -13.747 -13.746 ...   4.154   4.155   4.156],[1.32934955 1.33091723 1.33248185 ... 1.99608071 1.99796771 1.99985891],17.905,29603740,29621645,"{'Start_end': array([[ 2231,  7334, 12228],
       [ 5369, 12228, 15268]])}",3,[ 3800  9781 13748],[10.74537995 11.78668163 16.80972801],[167.19612105 252.07965717],[ 6790 11764],209.63788911082895,[22.97753499 34.13044012 31.40573186],17.06544755160326,17.06544755160326
44,30395.583000000002,[-67.7   -67.699 -67.698 ...  19.279  19.28   19.281],[2.89089423 3.00370009 3.00384485 ... 1.67708428 1.67598691 1.67488805],86.982,30327883,30414865,"{'Start_end': array([[  219,  4879,  9991, 14907, 20095, 25511, 30308, 36410, 41856,
        45220, 50958, 55340, 60702, 65699, 70104, 75612, 81035],
       [ 4879,  9689, 14449, 20095, 25133, 31103, 35826, 39646, 45906,
        50958, 55430, 60702, 65058, 69701, 75298, 80824, 86981]])}",17,"[ 2549  7284 12220 17501 22614 28307 33067 38028 43881 48089 53194 58021
 62880 67700 72701 78218 84008]","[25.52809601 37.33621785 35.89440829 32.06195919 24.66055464 25.16622303
 13.89308745 17.66226052 16.47071666 18.03769286 24.49974727 37.11222279
 51.20644211 59.69698053 52.39453472 33.71916768 19.85860342]","[211.19324182 202.59319287 189.35807612 195.57989439 175.65431231
 210.08403361 201.57226366 170.85255425 237.64258555 195.8863859
 207.16801326 205.80366331 207.46887967 199.960008   181.25793003
 172.71157168]","[ 4916  9752 14860 20057 25460 30687 35547 40954 45985 50641 55607 60450
 65290 70200 75459 81113]",197.79916290065415,"[ 72.73987311  89.27950641  77.23566609  67.95189505  54.98534001
  62.74902369  39.18520394  35.8079833   41.88910794  50.43796956
  56.62174508  72.98194291  92.25102203  97.64675065 101.36652687
  86.0625306   55.01276136]",-0.9199418682142027,-0.11233103801744589
